Name,Industry,Revenue (USD),Employees,State,City,Phone Number,Website,Ticker,Holders,Description
ABC Holdings Ltd/Botswana,Banks,295000000,--,,Gaborone,267-3905455,,ABCH BG,,"ABC Holdings Limited is a regional financial services company.  The Company provides products and services in the following areas: Treasury, Investment Banking, Structured Trade Finance, and Banking Services (Private, Corporate and International)."
FSG Ltd,Funeral Services,14000000,--,,Gaberone,267-392-2074,,FSG BG,,FSG Limited provides funeral services. The Group offers burial services as well as manufactures coffins.
Imara Holdings Ltd,Institutional Brokerage,9000000,199,,Gaborone,,www.imara.co,IMARA BG,,"Imara Holdings Ltd. is an investment banking and asset management company.  The Company areas of business include corporate advisory, securities trading, and asset management."
Suashish Diamond Botswana Pvt,"Apparel, Footwear & Acc Design",*763000000,150,,Gabarone,267-397-1450,www.suashish.com,0348601D BG,,"Suashish Diamond Botswana Pvt provides mining or quarrying dimension stone. The Company offers rough procurement and diamond manufacturing using laser technology. Suashish Diamond markets its products in India, Botswana, Hong Kong and United States."
Hybrid Poultry Farms Z Ltd,Agricultural Producers,*314000000,930,,,0260-211282734,,0662264D ZL,,Hybrid Poultry Farms Z Ltd was founded in 1985. The company's line of business includes operating poultry hatcheries.
Cnmc Luanshya Copper Mines,Base Metals,*308000000,500,,Luanshya,260-251-3400,,9763433Z ZL,,"Cnmc Luanshya Copper Mines was founded in 2004. The Company's line of business includes the mining, milling, and preparing of copper ores."
Master Farmer Feeds Pty Ltd,Packaged Food,*285000000,200,,,267-5330278,,1008353D BG,,Master Farmer Feeds Pty Ltd was founded in 1995. The company's line of business includes manufacturing prepared foods and miscellaneous food specialties.
Songas Ltd,Utility Networks,*87000000,50,,,255-222452160,,0547537D TZ,,"Songas Limited was founded in 2004. The company's line of business includes the generation, transmission, and/or distribution of electric energy."
BUY N' Build Pty Ltd,Home Products Stores,*76000000,--,,,0267-2412223,,1062325D BG,,"Buy N' Build (Pty) Ltd was founded in 1993. The company's line of business includes the retail sale of a number of basic hardware lines, such as tools, housewares and household appliances."
Mobile Decisioning Zambia Ltd,Telecom Carriers,*75000000,147,,,0260-204986101,,1288361D ZL,,Mobile Decisioning Zambia Limited was founded in 2011. The company's line of business includes providing telephone voice and data communications services.
